asof,quotes_csv,forwards_csv,qcurve_csv,ivtable_csv,surface_parquet,localvol_parquet,fit_info
2025-09-02,data/quotes/20250902_quotes.csv,artifacts/forwards_2025-09-02.csv,artifacts/qcurve_2025-09-02.csv,artifacts/ivtable_2025-09-02.csv,artifacts/price_surface_2025-09-02.parquet,artifacts/local_vol_surface_2025-09-02.parquet,{'skipped': 'surface and LV exist'}
2025-09-03,data/quotes/20250903_quotes.csv,artifacts/forwards_2025-09-03.csv,artifacts/qcurve_2025-09-03.csv,artifacts/ivtable_2025-09-03.csv,artifacts/price_surface_2025-09-03.parquet,artifacts/local_vol_surface_2025-09-03.parquet,{'skipped': 'surface and LV exist'}
2025-09-04,data/quotes/20250904_quotes.csv,artifacts/forwards_2025-09-04.csv,artifacts/qcurve_2025-09-04.csv,artifacts/ivtable_2025-09-04.csv,artifacts/price_surface_2025-09-04.parquet,artifacts/local_vol_surface_2025-09-04.parquet,"{'nT': 10, 'nK': 61, 'grid_T_min_max': (0.010958904109589041, 0.0410958904109589), 'example': [{'T': 0.010958904109589041, 'K': 3902.3999999999996, 'c': 6373.920000471419}], 'lv_example': [{'T': 0.0136986301369863, 'K': 4011.2625000000003, 'sigma_loc': 0.09583787100972899}]}"
2025-09-05,data/quotes/20250905_quotes.csv,artifacts/forwards_2025-09-05.csv,artifacts/qcurve_2025-09-05.csv,artifacts/ivtable_2025-09-05.csv,artifacts/price_surface_2025-09-05.parquet,artifacts/local_vol_surface_2025-09-05.parquet,"{'nT': 10, 'nK': 61, 'grid_T_min_max': (0.00821917808219178, 0.038356164383561646), 'example': [{'T': 0.00821917808219178, 'K': 3888.1499999999996, 'c': 6350.645005190737}], 'lv_example': [{'T': 0.010958904109589041, 'K': 3996.555, 'sigma_loc': 0.13762223002818247}]}"
2025-09-08,data/quotes/20250908_quotes.csv,artifacts/forwards_2025-09-08.csv,artifacts/qcurve_2025-09-08.csv,artifacts/ivtable_2025-09-08.csv,artifacts/price_surface_2025-09-08.parquet,artifacts/local_vol_surface_2025-09-08.parquet,"{'nT': 10, 'nK': 61, 'grid_T_min_max': (0.005479452054794521, 0.0410958904109589), 'example': [{'T': 0.005479452054794521, 'K': 3899.85, 'c': 6369.7550764926655}], 'lv_example': [{'T': 0.00821917808219178, 'K': 4008.6108333333336, 'sigma_loc': 0.063646011369681}]}"
2025-09-09,data/quotes/20250909_quotes.csv,artifacts/forwards_2025-09-09.csv,artifacts/qcurve_2025-09-09.csv,artifacts/ivtable_2025-09-09.csv,artifacts/price_surface_2025-09-09.parquet,artifacts/local_vol_surface_2025-09-09.parquet,{'skipped': 'surface and LV exist'}
2025-09-10,data/quotes/20250910_quotes.csv,artifacts/forwards_2025-09-10.csv,artifacts/qcurve_2025-09-10.csv,artifacts/ivtable_2025-09-10.csv,artifacts/price_surface_2025-09-10.parquet,artifacts/local_vol_surface_2025-09-10.parquet,{'skipped': 'surface and LV exist'}
2025-09-11,data/quotes/20250911_quotes.csv,artifacts/forwards_2025-09-11.csv,artifacts/qcurve_2025-09-11.csv,artifacts/ivtable_2025-09-11.csv,artifacts/price_surface_2025-09-11.parquet,artifacts/local_vol_surface_2025-09-11.parquet,{'skipped': 'surface and LV exist'}
2025-09-12,data/quotes/20250912_quotes.csv,artifacts/forwards_2025-09-12.csv,artifacts/qcurve_2025-09-12.csv,artifacts/ivtable_2025-09-12.csv,artifacts/price_surface_2025-09-12.parquet,artifacts/local_vol_surface_2025-09-12.parquet,"{'nT': 10, 'nK': 61, 'grid_T_min_max': (0.00821917808219178, 0.038356164383561646), 'example': [{'T': 0.00821917808219178, 'K': 3950.3399999999997, 'c': 6452.222001101507}], 'lv_example': [{'T': 0.010958904109589041, 'K': 4060.441666666667, 'sigma_loc': 0.06909896610793755}]}"
2025-09-15,data/quotes/20250915_quotes.csv,artifacts/forwards_2025-09-15.csv,artifacts/qcurve_2025-09-15.csv,artifacts/ivtable_2025-09-15.csv,artifacts/price_surface_2025-09-15.parquet,artifacts/local_vol_surface_2025-09-15.parquet,"{'nT': 10, 'nK': 61, 'grid_T_min_max': (0.005479452054794521, 0.0410958904109589), 'example': [{'T': 0.005479452054794521, 'K': 3967.95, 'c': 6480.985000209612}], 'lv_example': [{'T': 0.00821917808219178, 'K': 4078.664166666667, 'sigma_loc': 0.09457157535251012}]}"
