T,K,C,P,F
0.00821917808219178,6480.0,13.45,13.2,6480.25
0.010958904109589041,6480.0,21.25,20.35,6480.9
0.0136986301369863,6480.0,27.05,25.5,6481.55
0.01643835616438356,6480.0,34.8,32.400000000000006,6482.4
0.019178082191780823,6485.0,36.8,37.0,6484.8
0.0273972602739726,6485.0,40.0,41.0,6484.0
0.030136986301369864,6485.0,43.55,43.9,6484.65
0.03287671232876712,6485.0,50.1,49.8,6485.3
0.03561643835616438,6485.0,53.8,52.7,6486.1
0.038356164383561646,6490.0,55.8,55.45,6490.35
0.04657534246575343,6490.0,59.25,60.25,6489.0
0.049315068493150684,6490.0,62.150000000000006,62.349999999999994,6489.8
