cp,K,T,F,df,mid,iv,expiry
C,6645.0,0.010958904109589041,6717.85,1.0,79.75,0.10895553104958684,2025-10-06
P,6645.0,0.010958904109589041,6717.85,1.0,6.949999999999999,0.10923817248044003,2025-10-06
C,6650.0,0.010958904109589041,6717.85,1.0,75.25,0.10682146220547435,2025-10-06
P,6650.0,0.010958904109589041,6717.85,1.0,7.449999999999999,0.10709163925993821,2025-10-06
C,6655.0,0.010958904109589041,6717.85,1.0,70.75,0.10444218149791452,2025-10-06
P,6655.0,0.010958904109589041,6717.85,1.0,8.0,0.10495946483264883,2025-10-06
C,6660.0,0.010958904109589041,6717.85,1.0,66.35,0.10231923091045726,2025-10-06
P,6660.0,0.010958904109589041,6717.85,1.0,8.55,0.10256700655076445,2025-10-06
C,6665.0,0.010958904109589041,6717.85,1.0,62.05,0.100393711062719,2025-10-06
P,6665.0,0.010958904109589041,6717.85,1.0,9.25,0.10063085833377905,2025-10-06
C,6670.0,0.010958904109589041,6717.85,1.0,57.75,0.09815680160183923,2025-10-06
P,6670.0,0.010958904109589041,6717.85,1.0,9.95,0.09838449404738443,2025-10-06
C,6675.0,0.010958904109589041,6717.85,1.0,53.6,0.09627038669420566,2025-10-06
P,6675.0,0.010958904109589041,6717.85,1.0,10.75,0.09627038669420765,2025-10-06
C,6680.0,0.010958904109589041,6717.85,1.0,49.5,0.09424074015667439,2025-10-06
P,6680.0,0.010958904109589041,6717.85,1.0,11.65,0.0942407401566759,2025-10-06
C,6685.0,0.010958904109589041,6717.85,1.0,45.5,0.09225158797559398,2025-10-06
P,6685.0,0.010958904109589041,6717.85,1.0,12.600000000000001,0.09204831161615729,2025-10-06
C,6690.0,0.010958904109589041,6717.85,1.0,41.5,0.08986851581387871,2025-10-06
P,6690.0,0.010958904109589041,6717.85,1.0,13.75,0.0902621019301086,2025-10-06
C,6695.0,0.010958904109589041,6717.85,1.0,37.75,0.08804249254081868,2025-10-06
P,6695.0,0.010958904109589041,6717.85,1.0,14.95,0.08823361048891974,2025-10-06
C,6700.0,0.010958904109589041,6717.85,1.0,34.099999999999994,0.08612833789775712,2025-10-06
P,6700.0,0.010958904109589041,6717.85,1.0,16.35,0.08650106044036834,2025-10-06
C,6705.0,0.010958904109589041,6717.85,1.0,30.65,0.08445579931720255,2025-10-06
P,6705.0,0.010958904109589041,6717.85,1.0,17.85,0.08463841068348602,2025-10-06
C,6710.0,0.010958904109589041,6717.85,1.0,27.3,0.08261097155926533,2025-10-06
P,6710.0,0.010958904109589041,6717.85,1.0,19.55,0.0829708750214568,2025-10-06
C,6715.0,0.010958904109589041,6717.85,1.0,24.15,0.08091497748215036,2025-10-06
P,6715.0,0.010958904109589041,6717.85,1.0,21.35,0.08109345595952686,2025-10-06
C,6720.0,0.010958904109589041,6717.85,1.0,21.25,0.07950207512906067,2025-10-06
P,6720.0,0.010958904109589041,6717.85,1.0,23.4,0.07950207512906327,2025-10-06
C,6725.0,0.010958904109589041,6717.85,1.0,18.45,0.07779983177542511,2025-10-06
P,6725.0,0.010958904109589041,6717.85,1.0,25.65,0.07797947655535654,2025-10-06
C,6730.0,0.010958904109589041,6717.85,1.0,15.850000000000001,0.07612868884829067,2025-10-06
P,6730.0,0.010958904109589041,6717.85,1.0,28.1,0.07649402887920854,2025-10-06
C,6735.0,0.010958904109589041,6717.85,1.0,13.5,0.07464357457148409,2025-10-06
P,6735.0,0.010958904109589041,6717.85,1.0,30.8,0.07520651515889168,2025-10-06
C,6740.0,0.010958904109589041,6717.85,1.0,11.45,0.07353155023614862,2025-10-06
P,6740.0,0.010958904109589041,6717.85,1.0,33.65,0.07372646252374629,2025-10-06
C,6745.0,0.010958904109589041,6717.85,1.0,9.55,0.07221845737908504,2025-10-06
P,6745.0,0.010958904109589041,6717.85,1.0,36.7,0.07221845737908554,2025-10-06
C,6750.0,0.010958904109589041,6717.85,1.0,7.9,0.07110640393908424,2025-10-06
P,6750.0,0.010958904109589041,6717.85,1.0,40.05,0.07110640393908634,2025-10-06
C,6755.0,0.010958904109589041,6717.85,1.0,6.4,0.06978208699754737,2025-10-06
P,6755.0,0.010958904109589041,6717.85,1.0,43.55,0.06978208699755438,2025-10-06
C,6760.0,0.010958904109589041,6717.85,1.0,5.2,0.06899167364328702,2025-10-06
