cp,K,T,F,df,mid,iv_parity
C,6615.0,0.0164383561643835,6677.45,1.0,79.5,0.12036059194215948
P,6615.0,0.0164383561643835,6677.45,1.0,16.5,0.11840713789159937
C,6620.0,0.0164383561643835,6677.45,1.0,75.0,0.1172157189051376
P,6620.0,0.0164383561643835,6677.45,1.0,17.4,0.11669496196240708
C,6625.0,0.0164383561643835,6677.45,1.0,72.0,0.11900299353799987
P,6625.0,0.0164383561643835,6677.45,1.0,18.299999999999997,0.11478290621202901
C,6630.0,0.0164383561643835,6677.45,1.0,66.0,0.1105081763646151
P,6630.0,0.0164383561643835,6677.45,1.0,19.299999999999997,0.11300258554531949
C,6635.0,0.0164383561643835,6677.45,1.0,63.0,0.11181772316603815
P,6635.0,0.0164383561643835,6677.45,1.0,20.450000000000003,0.11149335199943552
C,6640.0,0.0164383561643835,6677.45,1.0,60.0,0.1127619978925617
P,6640.0,0.0164383561643835,6677.45,1.0,21.65,0.10990611372564241
C,6645.0,0.0164383561643835,6677.45,1.0,54.0,0.10400609923897766
P,6645.0,0.0164383561643835,6677.45,1.0,22.9,0.10823084164878433
C,6650.0,0.0164383561643835,6677.45,1.0,51.0,0.10445917557539121
P,6650.0,0.0164383561643835,6677.45,1.0,24.25,0.10661037443485782
C,6655.0,0.0164383561643835,6677.45,1.0,48.0,0.10457251229026285
P,6655.0,0.0164383561643835,6677.45,1.0,25.7,0.10502647864417204
C,6660.0,0.0164383561643835,6677.45,1.0,44.65,0.10331238554529108
P,6660.0,0.0164383561643835,6677.45,1.0,27.25,0.10346185751892151
C,6665.0,0.0164383561643835,6677.45,1.0,41.349999999999994,0.10189990789092501
P,6665.0,0.0164383561643835,6677.45,1.0,28.950000000000003,0.10204794102611497
C,6670.0,0.0164383561643835,6677.45,1.0,38.2,0.10061849226780982
P,6670.0,0.0164383561643835,6677.45,1.0,30.65,0.10032443476810574
C,6675.0,0.0164383561643835,6677.45,1.0,35.0,0.09886580204349878
P,6675.0,0.0164383561643835,6677.45,1.0,32.55,0.09886580204350036
C,6680.0,0.0164383561643835,6677.45,1.0,32.05,0.0975074255623003
P,6680.0,0.0164383561643835,6677.45,1.0,34.65,0.09765386158575538
C,6685.0,0.0164383561643835,6677.45,1.0,29.25,0.09623518919850853
P,6685.0,0.0164383561643835,6677.45,1.0,36.85,0.09638211620732885
C,6690.0,0.0164383561643835,6677.45,1.0,26.55,0.09488940102101986
P,6690.0,0.0164383561643835,6677.45,1.0,39.05,0.09474138760088752
C,6695.0,0.0164383561643835,6677.45,1.0,24.05,0.09375510834186151
P,6695.0,0.0164383561643835,6677.45,1.0,42.0,0.09495259658708097
C,6700.0,0.0164383561643835,6677.45,1.0,21.65,0.09252640498559253
P,6700.0,0.0164383561643835,6677.45,1.0,45.0,0.09495863271345173
C,6705.0,0.0164383561643835,6677.45,1.0,19.5,0.09165559699036059
P,6705.0,0.0164383561643835,6677.45,1.0,48.0,0.09460146994354666
C,6710.0,0.0164383561643835,6677.45,1.0,17.35,0.09036605897133375
P,6710.0,0.0164383561643835,6677.45,1.0,51.0,0.09386325822554722
C,6715.0,0.0164383561643835,6677.45,1.0,15.45,0.08943974524235558
P,6715.0,0.0164383561643835,6677.45,1.0,54.0,0.09271640130806792
C,6720.0,0.0164383561643835,6677.45,1.0,13.65,0.08840107243533223
P,6720.0,0.0164383561643835,6677.45,1.0,57.0,0.09112022394176457
C,6725.0,0.0164383561643835,6677.45,1.0,12.05,0.08759486882404022
P,6725.0,0.0164383561643835,6677.45,1.0,60.3,0.09007462529304582
C,6730.0,0.0164383561643835,6677.45,1.0,10.5,0.08649943265449979
P,6730.0,0.0164383561643835,6677.45,1.0,63.0,0.08631212769937509
C,6735.0,0.0164383561643835,6677.45,1.0,9.2,0.0858671410069869
P,6735.0,0.0164383561643835,6677.45,1.0,66.0,0.08287173421635405
C,6740.0,0.0164383561643835,6677.45,1.0,8.0,0.08516680156797483
P,6740.0,0.0164383561643835,6677.45,1.0,72.0,0.09110778781779455
C,6745.0,0.0164383561643835,6677.45,1.0,6.949999999999999,0.08462842548335064
P,6745.0,0.0164383561643835,6677.45,1.0,75.0,0.0868436951084777
C,6750.0,0.0164383561643835,6677.45,1.0,5.95,0.08383000890575007
P,6750.0,0.0164383561643835,6677.45,1.0,78.0,0.08137935469216266
C,6755.0,0.0164383561643835,6677.45,1.0,5.05,0.08299577952770829
P,6755.0,0.0164383561643835,6677.45,1.0,84.0,0.0900071922860976
C,6760.0,0.0164383561643835,6677.45,1.0,4.35,0.08272025067495743
P,6760.0,0.0164383561643835,6677.45,1.0,87.0,0.08328693351425737
C,6615.0,0.0191780821917808,6678.35,1.0,84.0,0.12384894131854683
P,6615.0,0.0191780821917808,6678.35,1.0,19.65,0.1206578853479738
C,6620.0,0.0191780821917808,6678.35,1.0,78.0,0.11602631024885258
P,6620.0,0.0191780821917808,6678.35,1.0,20.7,0.11933080234004645
C,6625.0,0.0191780821917808,6678.35,1.0,75.0,0.11751236526281832
P,6625.0,0.0191780821917808,6678.35,1.0,21.8,0.11797305230323313
C,6630.0,0.0191780821917808,6678.35,1.0,69.95,0.11249788064169966
P,6630.0,0.0191780821917808,6678.35,1.0,22.9,0.11642608303967554
C,6635.0,0.0191780821917808,6678.35,1.0,66.0,0.11068497430657401
P,6635.0,0.0191780821917808,6678.35,1.0,24.1,0.1149857069720426
C,6640.0,0.0191780821917808,6678.35,1.0,63.0,0.11145299483840612
P,6640.0,0.0191780821917808,6678.35,1.0,25.25,0.11319961288833302
C,6645.0,0.0191780821917808,6678.35,1.0,60.75,0.11407665401290483
P,6645.0,0.0191780821917808,6678.35,1.0,26.55,0.11164546609197559
C,6650.0,0.0191780821917808,6678.35,1.0,57.0,0.11213545413704745
P,6650.0,0.0191780821917808,6678.35,1.0,28.049999999999997,0.11044247447772253
C,6655.0,0.0191780821917808,6678.35,1.0,46.05,0.08979199560634049
P,6655.0,0.0191780821917808,6678.35,1.0,29.549999999999997,0.10900819777820993
C,6660.0,0.0191780821917808,6678.35,1.0,49.35,0.10720142678207713
P,6660.0,0.0191780821917808,6678.35,1.0,31.15,0.10761556864993811
C,6665.0,0.0191780821917808,6678.35,1.0,46.05,0.10584124896650313
P,6665.0,0.0191780821917808,6678.35,1.0,32.75,0.1059781718784508
C,6670.0,0.0191780821917808,6678.35,1.0,42.95,0.10476948730763622
P,6670.0,0.0191780821917808,6678.35,1.0,34.55,0.10463337796668533
C,6675.0,0.0191780821917808,6678.35,1.0,39.85,0.10342928488226438
P,6675.0,0.0191780821917808,6678.35,1.0,36.55,0.10356492070010036
C,6680.0,0.0191780821917808,6678.35,1.0,36.85,0.10208328290072893
P,6680.0,0.0191780821917808,6678.35,1.0,38.5,0.10208328290072993
C,6685.0,0.0191780821917808,6678.35,1.0,34.0,0.10085667341580663
P,6685.0,0.0191780821917808,6678.35,1.0,40.65,0.10085667341580692
C,6690.0,0.0191780821917808,6678.35,1.0,31.25,0.09960371152284958
P,6690.0,0.0191780821917808,6678.35,1.0,43.0,0.09987667691391183
C,6695.0,0.0191780821917808,6678.35,1.0,28.65,0.09845220695835803
P,6695.0,0.0191780821917808,6678.35,1.0,45.3,0.09845220695835852
C,6700.0,0.0191780821917808,6678.35,1.0,26.15,0.0972574868300382
P,6700.0,0.0191780821917808,6678.35,1.0,48.0,0.09781444578443285
C,6705.0,0.0191780821917808,6678.35,1.0,23.75,0.09601020502472636
P,6705.0,0.0191780821917808,6678.35,1.0,51.0,0.09770633231078925
