K,T,C,P,F,moneyness
6615.0,0.005479452054794521,67.55,8.15,6674.4,0.9911003236245955
6620.0,0.005479452054794521,63.6,8.75,6674.85,0.9917825868746114
6625.0,0.005479452054794521,58.65,9.35,6674.3,0.9926134575910582
6630.0,0.005479452054794521,54.849999999999994,10.05,6674.8,0.9932881884101395
6635.0,0.005479452054794521,51.0,10.85,6675.15,0.9939851538916729
6640.0,0.005479452054794521,46.45,11.75,6674.7,0.9948012644763061
6645.0,0.005479452054794521,42.5,12.7,6674.8,0.995535446754959
6650.0,0.005479452054794521,38.4,13.8,6674.6,0.9963143858808018
6655.0,0.005479452054794521,34.9,15.0,6674.9,0.9970186819278192
6660.0,0.005479452054794521,30.7,16.45,6674.25,0.9978649286436678
6665.0,0.005479452054794521,28.049999999999997,18.0,6675.05,0.9984943933004247
6670.0,0.005479452054794521,24.75,19.75,6675.0,0.9992509363295881
6675.0,0.005479452054794521,21.75,21.65,6675.1,0.9999850189510269
6680.0,0.005479452054794521,18.85,23.85,6675.0,1.000749063670412
6685.0,0.005479452054794521,13.35,22.05,6676.3,1.0013031169959408
6690.0,0.005479452054794521,13.8,28.2,6675.6,1.0021571094733057
6695.0,0.005479452054794521,11.6,32.3,6674.3,1.003101448841077
6700.0,0.005479452054794521,9.7,35.400000000000006,6674.3,1.0038505910732212
6705.0,0.005479452054794521,8.15,38.5,6674.65,1.0045470549017552
6710.0,0.005479452054794521,6.55,42.150000000000006,6674.4,1.0053338127771785
6715.0,0.005479452054794521,5.25,46.400000000000006,6673.85,1.0061658562898477
6720.0,0.005479452054794521,4.2,49.85,6674.35,1.0068396173410143
6725.0,0.005479452054794521,3.3,53.099999999999994,6675.2,1.0074604506232023
6730.0,0.005479452054794521,2.6,57.9,6674.7,1.0082850165550512
6735.0,0.005479452054794521,2.025,62.15,6674.875,1.009007659319463
6740.0,0.005479452054794521,1.5499999999999998,67.3,6674.25,1.009851294152901
6745.0,0.005479452054794521,1.2000000000000002,71.9,6674.3,1.010592871162519
6750.0,0.005479452054794521,0.9,76.5,6674.4,1.011326860841424
6755.0,0.005479452054794521,0.675,80.85,6674.825,1.0120115508646295
6760.0,0.005479452054794521,0.5,84.7,6675.8,1.0126127205728153
6615.0,0.00821917808219178,73.80000000000001,13.3,6675.5,0.9909370084637855
6620.0,0.00821917808219178,70.35,13.3,6677.05,0.9914558075796946
6625.0,0.00821917808219178,65.15,14.1,6676.05,0.9923532627826335
6630.0,0.00821917808219178,61.6,14.9,6676.7,0.9930055266823431
6635.0,0.00821917808219178,58.150000000000006,15.9,6677.25,0.9936725448350743
6640.0,0.00821917808219178,54.0,16.9,6677.1,0.9944436956163604
6645.0,0.00821917808219178,50.25,17.95,6677.3,0.9951627154688272
6650.0,0.00821917808219178,45.95,19.25,6676.7,0.9960010184672069
6655.0,0.00821917808219178,42.25,20.55,6676.7,0.9967498914134229
6660.0,0.00821917808219178,39.25,22.05,6677.2,0.9974240699694483
6665.0,0.00821917808219178,35.85,23.65,6677.2,0.9981728868387947
6670.0,0.00821917808219178,28.299999999999997,25.45,6672.85,0.9995728961388312
6675.0,0.00821917808219178,29.55,27.35,6677.2,0.9996705205774876
6680.0,0.00821917808219178,26.55,29.4,6677.15,1.0004268288116938
6685.0,0.00821917808219178,23.85,31.65,6677.2,1.0011681543161806
