cp,K,T,mid,price_fit,F,df,err,abs_err,price_bsm,bsm_err,bsm_abs_err
C,6615.0,0.01643835616438356,79.5,58.83019491657725,6677.45,1.0,-20.66980508342275,20.66980508342275,395.27199259678855,315.77199259678855,315.77199259678855
P,6615.0,0.01643835616438356,16.5,-3.6198050834225697,6677.45,1.0,-20.11980508342257,20.11980508342257,0.0,-16.5,16.5
C,6620.0,0.01643835616438356,75.0,56.98784538409285,6677.45,1.0,-18.01215461590715,18.01215461590715,377.916323511648,302.916323511648,302.916323511648
P,6620.0,0.01643835616438356,17.4,-0.46215461590696805,6677.45,1.0,-17.862154615906967,17.862154615906967,0.0,-17.4,17.4
C,6625.0,0.01643835616438356,72.0,55.14549585160845,6677.45,1.0,-16.85450414839155,16.85450414839155,359.89593193218434,287.89593193218434,287.89593193218434
P,6625.0,0.01643835616438356,18.299999999999997,2.6954958516086336,6677.45,1.0,-15.604504148391364,15.604504148391364,0.0,-18.299999999999997,18.299999999999997
C,6630.0,0.01643835616438356,66.0,53.30314631912405,6677.45,1.0,-12.696853680875947,12.696853680875947,341.1133090570843,275.1133090570843,275.1133090570843
P,6630.0,0.01643835616438356,19.299999999999997,5.853146319124235,6677.45,1.0,-13.446853680875762,13.446853680875762,0.0,-19.299999999999997,19.299999999999997
C,6635.0,0.01643835616438356,63.0,51.46079678663966,6677.45,1.0,-11.539203213360338,11.539203213360338,321.4444594923839,258.4444594923839,258.4444594923839
P,6635.0,0.01643835616438356,20.450000000000003,9.010796786639844,6677.45,1.0,-11.439203213360159,11.439203213360159,0.0,-20.450000000000003,20.450000000000003
C,6640.0,0.01643835616438356,60.0,49.61844725415527,6677.45,1.0,-10.38155274584473,10.38155274584473,300.7275769055077,240.7275769055077,240.7275769055077
P,6640.0,0.01643835616438356,21.65,12.168447254155453,6677.45,1.0,-9.481552745844546,9.481552745844546,263.2775765902211,241.62757659022108,241.62757659022108
P,6645.0,0.01643835616438356,22.9,15.326097721671054,6677.45,1.0,-7.573902278328944,7.573902278328944,246.29456224721662,223.3945622472166,223.3945622472166
P,6650.0,0.01643835616438356,24.25,18.483748189186656,6677.45,1.0,-5.766251810813344,5.766251810813344,227.73914647375204,203.48914647375204,203.48914647375204
P,6655.0,0.01643835616438356,25.7,21.641398656702265,6677.45,1.0,-4.058601343297735,4.058601343297735,207.156977999025,181.456977999025,181.456977999025
C,6660.0,0.01643835616438356,44.65,42.249049124217684,6677.45,1.0,-2.400950875782314,2.400950875782314,201.27054154498728,156.62054154498728,156.62054154498728
P,6660.0,0.01643835616438356,27.25,24.799049124217866,6677.45,1.0,-2.4509508757821337,2.4509508757821337,183.82054630466473,156.57054630466473,156.57054630466473
C,6665.0,0.01643835616438356,41.349999999999994,40.406699591733286,6677.45,1.0,-0.9433004082667082,0.9433004082667082,168.87255937626242,127.52255937626242,127.52255937626242
P,6665.0,0.01643835616438356,28.950000000000003,27.956699591733468,6677.45,1.0,-0.9933004082665349,0.9933004082665349,156.42256334789226,127.47256334789226,127.47256334789226
C,6670.0,0.01643835616438356,38.2,38.564350059248895,6677.45,1.0,0.36435005924889197,0.36435005924889197,129.5503477790803,91.35034777908031,91.35034777908031
P,6670.0,0.01643835616438356,30.65,31.114350059249077,6677.45,1.0,0.46435005924907813,0.46435005924907813,122.10034793861223,91.45034793861223,91.45034793861223
